Index_agg,Country or area,Country Code,ISO3 Alpha Code,ISO2 Alpha Code,City Code,Urban Agglomeration,Location type,Data,Sources,Statistical Concept,Note,Urban Population,Cluster
1441,Republic of Korea,410,KOR,KR,21750,Gwangju,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1955, 1960, 1966, 1970, 1975, 1980, 1990, 2000, 2005, 2010 and 2015.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1442,Republic of Korea,410,KOR,KR,21751,Gwangmyeong,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1970, 1985, 1990, 1995, 2000, 2005, 2010 and 2015.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1443,Republic of Korea,410,KOR,KR,21741,Incheon,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1955, 1960, 1966, 1970, 1975, 1980, 1990, 2000, 2005 and 2010.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1444,Republic of Korea,410,KOR,KR,21735,Jeju,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1955, 1960, 1966, 1970, 1975, 1980, 1990, 2000, 2005 and 2010.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1445,Republic of Korea,410,KOR,KR,21738,Jeonju,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1955, 1960, 1966, 1970, 1975, 1980, 1990, 2000, 2005, 2010 and 2015.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1446,Republic of Korea,410,KOR,KR,21755,Pohang,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1970, 1985, 1990, 2000, 2005 and 2010.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1447,Republic of Korea,410,KOR,KR,21760,Seongnam,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1975, 1980, 1995, 2000, 2005, 2010 and 2015.",Urban Agglomeration,Data refer to the urban population of the city.,Urban Population,1
1448,Republic of Korea,410,KOR,KR,21758,Seoul,Capital,Urban agglomerations and capital cities,"Censuses of 1955, 1960, 1966, 1970, 1975, 1980, 1990, 1995, 2000, 2005, 2010 and 2015.",Urban Agglomeration,Refers to Seoul Special City. Data refer to the urban population of the city.,Urban Population,1
1449,Republic of Korea,410,KOR,KR,21739,Siheung,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1990, 2000, 2005, 2010 and 2015.",Urban Agglomeration,Data refer to the urban population of the city.,Urban Population,1
1450,Republic of Korea,410,KOR,KR,21762,Suweon,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1955, 1960, 1966, 1970, 1975, 1980, 1985, 1990, 1995, 2000, 2005, 2010 and 2015.",Urban Agglomeration,Data refer to the urban population of the city.,Urban Population,1
1451,Republic of Korea,410,KOR,KR,21765,Uijeongbu,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1966, 1970, 1975, 1980, 1985, 1990, 1995, 2000, 2005, 2010 and 2015.",Urban Agglomeration,Data refer to the urban population of the city.,Urban Population,1
1452,Republic of Korea,410,KOR,KR,21766,Ulsan,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1966, 1970, 1975, 1980, 1985, 1990, 2000, 2005 and 2010.",City Proper,Data refer to the urban population of the city.,Urban Population,1
1453,Republic of Korea,410,KOR,KR,205365,Yongin,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1980, 1990, 1995, 2000, 2005, 2010 and 2015.",Urban Agglomeration,Data refer to the urban population of the city.,Urban Population,1
1497,Russian Federation,643,RUS,RU,22341,Podolsk,Non-Capital,Urban agglomerations and capital cities,"Censuses of 1959, 1970, 1979, 1989, 2002 and 2010; Estimate for 2017.",City Proper,Includes Klimovsk and Lvovsky(L'vovskij).,Urban Population,1
1552,Senegal,686,SEN,SN,22439,Dakar,Capital,Urban agglomerations and capital cities,"Censuses of 1951, 1955, 1976, 1988, 2002 and 2013; Estimate for 1969; Sample Survey of 1961.",Urban Agglomeration,"Refers to the sum of the Departments of Dakar, Pikinie and Guédiawaye, in Dakar Region.",Urban Population,1
